D_Contestadas,% Completado,Edad,Genero,Estado,Estudios,¿En nombre de quién está contestando?,Edad Paciente,Genero Paciente,A Nombre de,Responsable,Socioeconomico,Atencion,D_collector_id,respondent_id
47,1,35 a 44 años,Femenino,Coahuila de Zaragoza,Preparatoria completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",13 a 17 años,Femenino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118975704268
45,0.97826087,35 a 44 años,Femenino,Sonora,Carrera técnica,En mi nombre,,,En mi nombre,TRUE,D+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118975622985
48,1,25 a 34 años,Femenino,Baja California,Licenciatura completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118975407628
43,0.934782609,55 a 64 años,Masculino,Veracruz,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118974263540
46,1,35 a 44 años,Femenino,Quintana Roo,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118975082070
45,0.97826087,45 a 54 años,Masculino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118974853674
43,0.934782609,25 a 34 años,Femenino,Coahuila de Zaragoza,Preparatoria completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Femenino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,D+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118974556729
43,0.934782609,35 a 44 años,Femenino,Nayarit,Secundaria completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118974534119
47,1,65 años en adelante,Masculino,Estado de México,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118974445095
47,1,45 a 54 años,Femenino,Puebla,Maestría,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118974386481
45,0.97826087,35 a 44 años,Femenino,Ciudad de México,Doctorado,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118974224559
44,0.956521739,18 a 24 años,Femenino,Baja California Sur,Secundaria completa,"A nombre de un adulto que yo cuido (madre, padre, hermano, tíos, entre otros)",25 a 34 años,Femenino,"A nombre de un adulto que yo cuido (madre, padre, hermano, tíos, entre otros)",FALSE,D+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118974160934
47,1,55 a 64 años,Masculino,Hidalgo,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118974100190
48,1,35 a 44 años,Masculino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118973676519
45,0.97826087,25 a 34 años,Femenino,Estado de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118973638319
41,0.891304348,18 a 24 años,Femenino,Tamaulipas,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C,Ambos tipos de instituciones (públicas y privadas),461757777,118973451787
45,0.97826087,35 a 44 años,Femenino,Tabasco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118972990460
41,0.891304348,55 a 64 años,Masculino,Nuevo León,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118972355238
44,0.956521739,25 a 34 años,Femenino,Guanajuato,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,D+,Ambos tipos de instituciones (públicas y privadas),461757777,118971952270
32,0.695652174,55 a 64 años,Masculino,Sinaloa,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118971949189
48,1,45 a 54 años,Masculino,Sonora,Doctorado,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118971947758
33,0.717391304,65 años en adelante,Masculino,Nuevo León,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,D,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118971838227
47,1,55 a 64 años,Masculino,Chihuahua,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118971842327
50,1,25 a 34 años,Femenino,Jalisco,Preparatoria completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118971801616
47,1,35 a 44 años,Femenino,Ciudad de México,Maestría,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118971725861
43,0.934782609,45 a 54 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118971493680
45,0.97826087,55 a 64 años,Masculino,Jalisco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118971043732
48,1,35 a 44 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,Ambos tipos de instituciones (públicas y privadas),461757777,118971032425
48,1,35 a 44 años,Femenino,Estado de México,Preparatoria completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970979761
33,0.717391304,35 a 44 años,Femenino,Jalisco,Licenciatura completa,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970944078
41,0.891304348,65 años en adelante,Masculino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118970891844
42,0.913043478,35 a 44 años,Femenino,Puebla,Carrera técnica,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",13 a 17 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970922606
46,1,65 años en adelante,Masculino,Guanajuato,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118970808498
42,0.913043478,25 a 34 años,Femenino,Chihuahua,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118970804758
44,0.956521739,55 a 64 años,Femenino,Guanajuato,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970789488
48,1,35 a 44 años,Femenino,Baja California Sur,Maestría,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",Menor de 12 años,Femenino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118970691366
47,1,45 a 54 años,Masculino,Ciudad de México,Maestría,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",13 a 17 años,Masculino,"A nombre de un menor que yo cuido (hija, hijo, nieto, entre otros)",FALSE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118970677666
50,1,45 a 54 años,Femenino,Estado de México,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118970546849
47,1,45 a 54 años,Femenino,Veracruz,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970191730
49,1,25 a 34 años,Femenino,Veracruz,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118970205397
32,0.695652174,45 a 54 años,Femenino,San Luis Potosí,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970099046
48,1,45 a 54 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118970071660
35,0.760869565,65 años en adelante,Masculino,Ciudad de México,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118970057978
46,1,55 a 64 años,Masculino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,Ambos tipos de instituciones (públicas y privadas),461757777,118970037268
48,1,65 años en adelante,Masculino,Ciudad de México,Doctorado,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969913769
42,0.913043478,45 a 54 años,Femenino,Ciudad de México,Carrera técnica,En mi nombre,,,En mi nombre,TRUE,D+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969835515
44,0.956521739,25 a 34 años,Femenino,Aguascalientes,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969795197
45,0.97826087,45 a 54 años,Masculino,Jalisco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,Ambos tipos de instituciones (públicas y privadas),461757777,118969756622
46,1,45 a 54 años,Masculino,Coahuila de Zaragoza,Maestría,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969733669
41,0.891304348,45 a 54 años,Femenino,Chihuahua,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969644527
45,0.97826087,65 años en adelante,Masculino,Jalisco,Preparatoria completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969575385
48,1,45 a 54 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969307456
47,1,35 a 44 años,Masculino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C+,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969294991
45,0.97826087,35 a 44 años,Masculino,Estado de México,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969239235
46,1,25 a 34 años,Femenino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118969240032
42,0.913043478,65 años en adelante,Masculino,Michoacán de Ocampo,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,Ambos tipos de instituciones (públicas y privadas),461757777,118969191067
41,0.891304348,55 a 64 años,Masculino,Baja California,Secundaria completa,En mi nombre,,,En mi nombre,TRUE,C-,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969182155
48,1,25 a 34 años,Femenino,Tabasco,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969133385
40,0.869565217,55 a 64 años,Femenino,Tamaulipas,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,C,"En Institución Pública o Gubernamental (Ejemplos: IMSS, ISSSTE, PEMEX, Secretaría de Salud, hospitales militares)",461757777,118969168386
32,0.695652174,65 años en adelante,Masculino,Ciudad de México,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969165512
49,1,35 a 44 años,Femenino,Querétaro,Maestría,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969157251
42,0.913043478,35 a 44 años,Femenino,Nuevo León,Licenciatura completa,En mi nombre,,,En mi nombre,TRUE,A/B,"En Institución Privada (Ejemplos: hospitales privados, consultorios particulares, clínicas privadas, consultorios anexos a farmacias)",461757777,118969123036
