NO_Pregunta,Pregunta,Seccion
12,¿Qué dispositivos utiliza para conectarse a Internet?,Preferencias Digitales
13,"De los dispositivos que indicó utilizar, ¿cuales los usa para consultar o buscar temas de salud? ",Preferencias Digitales
14,¿Qué actividades realiza en Internet?,Preferencias Digitales
15,De las actividades que indicó realizar en Internet ¿Cuáles ha utilizado para temas relacionados a salud?,Preferencias Digitales
16,"¿Con qué frecuencia busca en Internet información sobre síntomas, enfermedades o problemas de salud?",Busqueda de Informacion
18,"¿Qué tipo de herramientas digitales utiliza cuando busca información sobre salud, síntomas, enfermedades o medicamentos en Internet?",Busqueda de Informacion
24,Califique la información sobre salud o información sobre sus padecimientos que encontró en Internet en los últimos 6 meses,Busqueda de Informacion
25,"¿Qué plataformas sociales utiliza actualmente, sin importar el propósito?Por ejemplo: para entretenerse, informarse, seguir cuentas de interés, ver videos, interactuar con otras personas, etc. ",Plataformas Sociales
26,"De las plataformas sociales que usted utiliza, ¿en cuáles ha consumido, buscado o compartido contenido relacionado con temas de salud?",Plataformas Sociales
27,¿Qué tipo de perfiles sociales prefiere seguir para informarse sobre temas de salud?,Plataformas Sociales
31,"De la información que ha visto en redes sociales con referencia a su(s) padecimiento(a) / tratamiento(s) / medicamentos, ¿cómo la considera?",Plataformas Sociales
33,"Cuando necesita contactar a un nuevo profesional de la salud, ¿qué medios utiliza? ",Profesional de la Salud
34,A través de qué medio(s) se comunica con su(s) profesional(es) de la salud.,Profesional de la Salud
40,¿A través de qué canales digitales(sitios web o apps) ha comprado productos relacionados con la salud?,Comercio Electrónico
49,¿Utiliza actualmente alguno de los siguientes dispositivos electrónicos para monitorear o cuidar su salud?,HealthTech
50,¿Cuál o cuáles de las siguientes aplicaciones tiene instaladas en su smartphone o tablet?,HealthTech
